Region,Team Name,std_d_per_team_atk,std_fk_per_team,avrg_fk_per_team_atk,std_fk_per_team_atk,avrg_fk_per_team_dfs,2k_std,4k_mean,1v3_std,econ_std,pl_mean,ratio_$_won,ratio_Eco,ratio_$,ratio_$$$,Bank,bans_breeze_mean,picks_lotus_mean,picks_sunset_mean,decider_bind_mean,decider_lotus_mean
EMEA,BBL,0.37702402990571104,0.3121154793852561,0.4526315789473685,0.12552791869944513,0.12307692307692286,0.6007630337848829,0.21409147095179232,0.0,0.24205657734459862,0.2883720930232556,0.2,0.6346153846153846,0.8860759493670887,0.2689655172413796,0.0,0.5,0.0,0.0,0.0,0.0
EMEA,FUT,0.7475560445194134,0.6802079247921975,0.6644736842105263,0.46846166368914344,0.46634615384615374,0.810584261227156,0.25291025414634805,0.7217976369344363,0.34451364287615505,1.0,1.0,0.2884615384615383,0.3164556962025317,0.9931034482758623,0.7424627763415987,1.0,0.3333333333333333,0.0,0.0,0.0
EMEA,FNC,0.5166836717741015,0.32255081891085013,0.4342105263157894,0.39412313591477277,0.8365384615384615,0.17042724235946363,0.4906262875978573,0.7979398404520959,0.2723158586657908,0.5116279069767442,1.0,0.3653846153846154,0.18987341772151894,0.5931034482758624,0.5360602372913692,0.0,1.0,0.0,1.0,0.0
EMEA,VIT,0.5173082574474552,0.5451452990303707,0.8277511961722488,0.6101389011398994,0.10839160839160811,0.7859952769014895,0.7789100264303013,0.3495934959349594,0.260640244450729,0.9682875264270612,0.16,0.3269230769230771,0.2531645569620254,0.0,0.7357451828548955,0.2,0.2,0.33333333333333337,0.4,0.30000000000000004
EMEA,TH,0.8764630052767823,0.5547638998295668,0.5631578947368423,0.3638304883713839,0.6346153846153846,0.5855110012873745,0.7651025324078475,0.6751798649979273,1.0000000000000002,0.4558139534883723,0.36,0.42307692307692335,0.29113924050632917,0.565517241379311,0.6757382488650825,0.0,0.75,0.4166666666666667,0.25,0.0
EMEA,KC,0.7289051151193437,0.48079254782206204,0.6081871345029242,0.5927702543689226,0.4999999999999998,0.5712916735033002,0.5668455612753152,0.2177215189873418,0.4553063489137581,0.5736434108527133,0.4,0.46153846153846123,0.27848101265822783,1.0,0.5244236993533702,0.8571428571428571,0.0,0.7142857142857143,0.2857142857142857,0.42857142857142855
EMEA,NAVI,1.0,0.4648041684690871,0.0,0.0,0.4230769230769229,0.36289102993345423,0.8969357287592212,0.4809500408204413,0.5381175570034233,0.11295681063122909,0.0,0.11538461538461542,0.13924050632911394,0.15172413793103479,0.7717926225140599,0.0,0.0,0.0,0.0,0.0
EMEA,TL,0.04388707355073973,0.8760507843413419,1.0,0.8899804994598917,0.5384615384615383,0.7168095554019608,0.6801864441697569,0.5375,0.7769898977337253,0.3920265780730898,0.28,0.40384615384615374,0.7341772151898733,0.931034482758621,0.7509138672815734,0.6666666666666666,0.0,0.0,0.0,0.0
EMEA,M8,0.40042556921946293,0.8822854402223952,0.7473684210526317,0.8660475183890917,0.17692307692307674,0.9056669087026993,0.5764001141009794,0.0,0.28128107920968093,0.6232558139534885,0.5,0.7115384615384612,0.10126582278481017,0.06896551724137945,0.34662037801878687,0.5,0.5,0.0,0.0,0.0
EMEA,GX,0.12777988012623998,0.0,0.3421052631578949,0.3142026988698756,0.14102564102564097,0.267792362343636,0.9294562515783455,0.5662798867724551,0.7220952985909468,0.6046511627906979,0.0,1.0,0.4430379746835444,0.9241379310344824,0.26961120793360105,0.0,0.0,0.8333333333333334,0.0,0.75
EMEA,KOI,0.3279414392851314,0.6151066308646174,0.6937799043062198,0.6004004315827576,0.08391608391608374,0.4931528853047903,0.6292057291004323,0.2889658681472611,0.22737468452845389,0.4101479915433406,0.12,0.25,0.46835443037974694,0.3310344827586209,0.4124979349275304,0.0,0.0,0.6666666666666667,0.2,0.0
Americas,FUR,0.11604429511712744,0.5579366522309985,0.25,0.24914092785354125,0.5673076923076923,0.5557133522291781,0.03964656869477637,0.0,0.24722965233409222,0.16279069767441867,0.0,0.30769230769230793,0.46835443037974694,0.7379310344827585,0.36585172896011064,0.0,0.0,0.0,0.0,0.75
Americas,LEV,0.22067646052778578,0.7185429773762577,0.07602339181286544,0.4841036130290497,0.23076923076923062,0.2986067017826356,0.9822117663738144,0.0,0.4334429596890559,0.6046511627906979,0.2,0.6538461538461537,0.3037974683544304,0.46206896551724164,0.5253753778210051,0.0,0.0,0.0,0.3333333333333333,0.0
Americas,KRÃœ,0.08556416344961215,0.6497516275289028,0.9684210526315788,0.5792389934885354,0.4461538461538459,0.7735031026264234,0.0,0.6383518723616767,0.7731138417137522,0.5116279069767442,0.4,0.5384615384615383,0.18987341772151894,0.8896551724137929,0.5440552671563892,1.0,0.0,0.8333333333333334,0.0,0.0
Americas,G2,0.3500737300250907,0.6144404328471134,0.3279352226720649,0.44760229381448857,0.6656804733727808,0.47809740357896546,0.5862028371299075,0.2279828115577417,0.392796844501792,0.6189624329159216,0.58,0.05769230769230749,0.3417721518987343,0.7034482758620686,0.6947113203200801,0.2,0.0,1.0,0.0,0.0
Americas,100T,0.5912992051054369,0.5214325279234757,0.0350877192982455,0.2956699511089895,0.41025641025641013,0.2928527137017686,0.8028430160692211,0.7166666666666667,0.2023377515743281,0.13953488372093004,0.44,0.4807692307692304,0.5696202531645569,0.6620689655172414,0.07068481293351958,1.0,0.5,0.0,0.0,0.0
Americas,NRG,0.4502067416472,0.6034245684584489,0.42105263157894735,0.35282398636483103,0.5384615384615383,0.4558735687772063,0.32159175307514454,0.0,0.4473541758868582,0.5116279069767442,0.76,0.19230769230769207,0.2658227848101266,0.9655172413793105,0.4826568815195207,0.0,0.0,0.0,0.0,0.5
Americas,LOUD,0.4375217217272189,0.39682588819500975,0.6396761133603239,0.36657988494844695,0.45857988165680474,0.21327633440138852,0.3285105904211082,0.0,0.27772647457154354,0.49016100178890865,0.58,0.30769230769230793,0.41772151898734183,0.7241379310344827,0.5579790909958184,1.0,0.0,0.4166666666666667,0.0,0.375
Americas,EG,0.1282397153610627,0.33529825131685786,0.3052631578947369,0.17615439533395882,0.7153846153846155,0.8723757081429214,0.7136382365059744,0.6383518723616767,0.6414575431422991,0.5674418604651161,0.66,0.5384615384615383,1.0,0.8275862068965516,0.16997815095156188,0.0,0.0,0.0,0.0,0.0
Americas,C9,0.11536510252780485,0.9116316022519995,0.6315789473684212,0.4592131882095092,0.4999999999999998,0.4851821286291913,0.42730190704370064,0.4334488022208916,0.0,0.5116279069767442,0.0,0.0,0.24050632911392406,0.24137931034482785,0.4147898745133989,1.0,0.0,0.5555555555555556,0.0,1.0
Americas,SEN,0.5722057265304099,0.6593460679593575,0.3508771929824561,0.5975884882796705,0.7307692307692306,0.360697230359346,0.32597260569373365,0.36685467247230746,0.44161932835751805,0.35215946843853807,0.46,0.5961538461538458,0.0,0.6137931034482764,0.9999999999999998,0.2857142857142857,0.0,0.47619047619047616,0.14285714285714285,0.21428571428571427
Americas,MIBR,0.0,0.7462710367460084,0.4956140350877192,0.6088934937051285,0.4775641025641024,0.03638045972111281,0.34393021474194774,0.26699127741362905,0.1757888030337167,0.7209302325581395,0.72,0.13461538461538458,0.12658227848101272,0.9034482758620692,0.44972042990736827,0.0,0.0,0.0,0.0,0.6000000000000001
Pacific,GE,0.26262764189574184,0.8881011413346747,0.6842105263157894,0.8639856552882508,0.0,0.0,0.48014921617264383,0.0,0.19904495388978982,0.5913621262458473,0.0,0.8461538461538463,0.05063291139240511,0.5034482758620693,0.6510155502865504,0.3333333333333333,0.0,0.5555555555555556,0.0,0.0
Pacific,GEN,0.5396821936019616,0.6007882451218252,0.5631578947368423,0.5440473767908551,0.47307692307692295,0.4984369624324101,1.0,0.3243358242946163,0.5380195778921721,0.38604651162790704,0.76,0.4807692307692304,0.3924050632911393,0.5586206896551729,0.8586024520263302,0.2857142857142857,0.42857142857142855,0.0,0.0,0.21428571428571427
Pacific,TLN,0.8044936186929763,0.5896988404972854,0.2192982456140351,0.3887246352461091,0.27564102564102555,0.5212175958216775,0.6258958303781907,0.5755631636047905,0.8449206345277598,0.0,0.8,0.9038461538461537,0.13924050632911394,0.5931034482758624,0.8355899824788782,0.0,0.0,0.0,0.0,0.5
Pacific,RRQ,0.1619461968931687,0.3392282112580416,0.2192982456140351,0.21007597409761192,0.3653846153846154,0.4127290697809256,0.3987978380474563,0.5163140144101797,0.23478879993037927,0.4651162790697674,0.34,0.4423076923076925,0.17721518987341772,0.20000000000000018,0.9732459681641445,0.0,0.5,0.0,0.0,0.0
Pacific,TS,0.7318944344361158,0.8558430942630502,0.5933014354066988,0.6722641265908798,0.4510489510489508,0.6111774775457174,0.3335483061930098,0.3052987215642802,0.41153264857547023,0.536997885835095,0.36,0.5769230769230766,0.24050632911392406,0.7655172413793103,0.8875506960748496,0.0,0.0,0.0,0.0,0.6000000000000001
Pacific,BLD,0.8073205444971698,1.0,0.8947368421052633,1.0,0.6076923076923075,0.7677970613665058,0.1433125966753801,0.5755631636047905,0.3584556947513857,0.7906976744186047,0.34,0.11538461538461542,0.24050632911392406,0.8758620689655174,0.46543592225554775,0.0,0.0,0.0,0.0,0.0
Pacific,T1,0.9065255343823955,0.861833865856513,0.5789473684210524,0.6982034354047992,0.9999999999999998,0.440158203675717,0.7847831527220609,0.0,0.31566808013971404,0.43189368770764114,0.0,0.34615384615384626,0.08860759493670889,0.9793103448275859,0.5215919323726574,0.0,0.6666666666666666,0.0,0.0,0.0
Pacific,DRX,0.2480919709731384,0.6868345143693022,0.9561403508771931,0.5698751773425073,0.6346153846153846,0.3143463062783105,0.4118175537731844,0.5279601951863491,0.05871697222019612,0.6511627906976742,0.5,0.34615384615384626,0.0,0.8482758620689657,0.6978711720536939,0.0,0.0,0.0,0.3333333333333333,0.0
Pacific,ZETA,0.7346415546021077,0.6703449467528579,0.4258373205741628,0.680907037878685,0.08391608391608374,1.0,0.7516876685471697,0.3327900756387888,0.49250461590974814,0.13107822410148007,0.16,0.5576923076923075,0.3417721518987343,0.42758620689655213,0.593254019038223,1.0,0.2,0.0,0.0,0.6000000000000001
Pacific,PRX,0.31256544108675,0.5080534819623561,0.5263157894736843,0.37116955731791146,0.29059829059829045,0.28385245419960714,0.5408331661478523,0.367637203977929,0.30985566929696806,0.3565891472868219,0.0,0.6730769230769229,0.27848101265822783,0.544827586206897,0.27523285873508185,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Pacific,DFM,0.2615598785215989,0.5085753151311263,0.7105263157894739,0.648487933090155,0.09615384615384603,0.6787341019051152,0.27798698747616446,1.0,0.10016402594484797,0.09302325581395343,0.0,0.6538461538461537,0.3544303797468355,0.04137931034482767,0.3038553448729193,0.0,1.0,0.0,0.5,0.0
